,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
48,Bejeweled,Midnights,2022-10-21,9,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,163.999,0.433,84,194165
49,Labyrinth,Midnights,2022-10-21,10,0A1JLUlkZkp2EFrosoNQi0,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,0.122,77,247962
50,Karma,Midnights,2022-10-21,11,7KokYm8cMIXCsGVmUvKtqf,spotify:track:7KokYm8cMIXCsGVmUvKtqf,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,0.0969,86,204852
51,Sweet Nothing,Midnights,2022-10-21,12,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.964,0.337,0.156,7.72e-05,0.115,-14.919,0.0518,176.655,0.39,77,188496
52,Mastermind,Midnights,2022-10-21,13,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,79,191039
53,Lavender Haze,Midnights,2022-10-21,1,5E36pd9opG8oT1GkKYv7qz,spotify:track:5E36pd9opG8oT1GkKYv7qz,0.253,0.743,0.463,0.000634,0.164,-10.485,0.0782,96.999,0.101,53,202395
54,Maroon,Midnights,2022-10-21,2,7DAB0lFAvDT0Nhw5BjBqt1,spotify:track:7DAB0lFAvDT0Nhw5BjBqt1,0.0547,0.658,0.401,1.2e-06,0.0927,-8.377,0.0367,108.049,0.0384,50,218270
55,Anti-Hero,Midnights,2022-10-21,3,1BJWay8HsY5Tz8L28itkCk,spotify:track:1BJWay8HsY5Tz8L28itkCk,0.12,0.639,0.628,1.07e-06,0.191,-6.606,0.0525,96.982,0.506,54,200690
56,Snow On The Beach (feat. Lana Del Rey),Midnights,2022-10-21,4,3zRe2Yz0GZgy3Cr5W8SRLo,spotify:track:3zRe2Yz0GZgy3Cr5W8SRLo,0.664,0.651,0.322,0.00185,0.139,-13.459,0.0393,109.949,0.184,48,256124
57,"You're On Your Own, Kid",Midnights,2022-10-21,5,6NNM5YsBgh6jKmLaWCDDec,spotify:track:6NNM5YsBgh6jKmLaWCDDec,0.408,0.694,0.385,1.73e-05,0.126,-10.329,0.0628,120.02,0.401,49,194206
